,Unnamed: 0,name,date,stars,text,boaDate,boaText,source,product
10,10,Jen D,10/13/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Terrible terrible terrible!  They are holding my money and won't give it back!</div>]",,,bbb.org,
11,11,ellise p,10/12/2020,5,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I am GOOPED about all the negative reviews cause in my experience I've only had positive experiences for example when the pandemic hit and I couldn't make my credit card payment on time I contacted costumer service through the online agent and they said they would wave the late fee and not up my monthly payments cause listen ð??? the struggle was real but like overall the app and all the functions and I had and have had no bad experiences with them. </div>]",,,bbb.org,credit card
12,12,Kendall H,10/09/2020,2,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have had a Bank of America credit card for around 12 years.  I have always paid on time until I accidently hit the annoying ""Go Paperless"" pop up that you had to navigate around before login.  So I missed the statement and didn't realize it until it was 10 days past due.  They promptly charged me interest and a late fee.  So I called and asked them if they would remove those two charges and they said they couldn't.  I have other credit cards that have done similar things for me once or twice in the past 5 or 10 years.  There are plenty of credit cards out there that offer a lot better deal than Bank of America.  I personally really like both **** and ***** they have better offers and better customer care folks.</div>]",,,bbb.org,credit card
13,13,John L.,10/08/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">There is a charge from Simplisafe on my BOA Credit card $****** on March 26, 2020. I didn't make the order, I didn't receive this system. SimpliSafe refused to reverse the charge, claiming that they can not find it in my account. Filing a fraud claim with BOA was not resolved, BOA claims that I might give Simplisafe my credit card information myself. I have made multiple calls to BOA and the claim is still not resolved after 6 months after the initial claim date, 5 months after the fraudulent claim. I am seeking legal service if BBB cannot resolve this problem.</div>]",,,bbb.org,credit card
14,14,Spring s,10/08/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have been with Bank of America for a while now... no problems with my account. They have been cashing my boyfriends third party checks for months. All of a sudden I am overdrawn almost 1000.00 bc they say that they don't accept those type of checks!!! I even went with him in person to cash a third party check!!!!!! Now they say everything is on me and it MY FAULT!!!! Wow!!!!! I even accepted what they said at first an asked if they could help me with any overdrafts that occurred subsequently bc of this .. there response was that's on me. What???!! They have cashed all checks with no notification or warning that is isn't allowed!! Then on top of that they put me through to a ""manager"" CALVIN who was as ignorant as ignorant can get! He talked over me didn't offer an solution an said it's all on me!!!!! UNBELIEVABLE!! He had no compassion was border line rude.... you could tell he didn't care at all or wanna help!!! He then LIED AN SAID I CAN RECASH THE CHECK ITS GETTING MAILED BACK TO ME!!! I CALLED THIS MORNING....HE LIED!!!THEY ARE MAILING A COPY OF THE RETURNED CHECK!!!!!!! WORST CUSTOMER SERVICE EVER!!! Then this morning they hit me with ANOTHER FEE FOR THE CHECK!!! This is insane. I deposited it on Friday an it cleared Tuesday as usual an I pulled the money out an paid my rent. Then Wednesday all hell brakes loose. NO ONE WILL HELP ME TRY TO ACCOMMODATE ME ANYTHING!!!!! So CREDIT UNION HERE I COME!!!! DO NOT EVER GO TO BANK OF AMERICA!!!THEY DONT CARE ABOUT CUSTOMERS!!!!!!!!!!!!!!!</div>]",,,bbb.org,
15,15,Erica R,10/05/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Customer service was beyond the worst I have ever experienced. I have been with Bank of America 6 years coming &amp; the service given today topped it all. No supervisors were  on duty to talk to customers due to COVID-19, is what I was told when ask to speak to one and let's add the fact I was hung up on &amp; had to recall to speak to a different representative. The closes branch is hours away and I still chose to stay with Bank of America but will definitely Reconsider after today. I work in customer service everyday, in person or over the phone, &amp; no matter the mood I am in it does not affect my customers. </div>]",,,bbb.org,
16,16,Amanda C,10/02/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">On September 29, 2020 I made three transaction via zelle for a puppy, not realizing that I was being scammed. Turns out I was scammed. I called BOA to tell them. The claim was done incorrectly. I called back the next day and was told the claim was done incorrectly and that they did it correctly. The next day another representative told me they were escalating and that the past two complaints were done wrong. I've called everyday this week and finally got it fixed, but it is too little too late. I was told if the scammers closed the account which is likely, I won't see a penny back. Had this been done correctly the first time, I may have had a chance to see some money back. Now its 5 days, and scammers are smart and the accounts are probably closed. I offered all sorts of documentation and BOA denied it all. Because of the negligence of Bank of America's part, I am holding them responsible for the funds. I am demanding an account credit. Had your employees done their job correctly the first time, second, time or even fourth time I could have had my money back. I've been a loyal Bank of America customer for over 11 years and this is appalling.</div>]",,,bbb.org,
17,17,Sharmell B,10/02/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Last time I dealt with Bank of America in Atlanta ga. Inside the bank. Last phone conversation I had remove the overdraft. Now I have fraud on my business account. Proceed charges and want what it is used for?

Angry business owner 
Veteran </div>]",,,bbb.org,
18,18,Jac,09/30/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">BOA canceled my 92 year old mother's credit card for no good reason. She has been with BOA for years and has her checking account with them. She has never been late on a card payment. 
When I called they would not tell me why it was canceled and said they sent an email stating why the card was canceled. The email was a stock email stating the reasons why a card could be canceled but not specifically why hers was canceled. They also asked if she had been using the card and I told them she's 92 years old and since the start of COVID she has been staying home like she should so hasn't used it during the pandemic.
I think it is truly disgusting that BOA would do this to her. She was very upset about it and couldn't understand why they would do something like that to her.</div>]",,,bbb.org,credit card
19,19,Kenneth O,09/30/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">THESE RAT BASTARDS STOLE MY MONEY, AND THERE IS ABSOLUTELY NO RECOURSE.  I WISH EVERYONE ASSOCIATED WITH BANK OF AMERICA AND THE BBB A SLOW, PAINFUL DEATH.  </div>]",,,bbb.org,
20,20,Debra H,09/29/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Bank of America don't deserve not one ð??? I had one check was cancel &amp; I myself call bank of America to cancel the check &amp; they told me it's a 12.75 charge for cancel check that's ok with me. &amp; I went to deposit funds to my account to cover the 12.75 also to have funds in my account, &amp; I had money deposit to my Account from a ************* Bank of America close my account &amp; I still had money in my accounts this is not making any sense to me I will never deal with Bank of America never in my life all the associate going to say to me they don't understand everything looks normal they don't know why my account is locked that's weird &amp; I have to wait to get an approval to get the rest of my money this is ******** bank of America need a better reason for they Action this is unacceptable only reason they gave me is when I open my accounts that we agree at that time Bank of America or myself can cancel anytime so bank of America cancel with my funds in my accounts letting people know do not mess with bank of america they are the type of bank if customer have money being deposited in ur accounts bank of america will lock ur accounts &amp; they mad because I took all my monies out because I have bills my bills has to be paid this is a sad *** Bank. </div>]",,,bbb.org,
21,21,Carol B,09/24/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Let me start off  by saying I am a healthcare worker.  I realized a few weeks ago that my credit score had dropped almost 100 points.  Since I've been considering buying a home, I try really hard to maintain a good credit score and do monitor it.  Since COVID I have not been paying as much attention as I use to.  Upon reviewing my credit report and using Experian, I realized it was Bank of American reports that were causing my credit score to drop drastically.  I could not figure this out because the two credit cards I had with them were pain in full but not closed.  After three calls to BOA and about three hours of my time, I was finally told that in April 2020, I was sent a letter letting me know that I had a $60 membership fee and after three months of it not being paid the account was closed.  They also reported three late payments to the credit bureau.  How can a company do this to someone or anyone during a global pandemic!!!  Excuse me BOA, but in April 2020 my main focus was a global pandemic.  Needless to say they did not offer any help with this when I finally go through to customer service.  Just beware when dealing with them</div>]",,,bbb.org,credit card
22,22,Carole V,09/22/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">They are very full of fees for everything and because of those fees I got a checking acct specifically designed to prevent overcharges  Now scams when I was scammed by a person pretending to be a iPhone support and tricked me out of 100 I called the bank immediately had his email and phone but the bank did nothing they were not out money now recently this is the worst and no one is safe from this my safe balance checking was direct deposited two state checks by a guy who owed my fiancé money from overseas I my fiancé in military his friend owed him money so the friend said he put money in my account well he scammed him and me well the bank locked my acctts including other unrelated acts took my money and threw me out as well as having an fraud arrest against my ssn I kid you not I do not have a record never been in trouble and this is just so awful and totally uncalled for The checks were for more than I had in my safe balance I had no idea and the mans name not on my account They listed as one check to make the penalty more for arrest I suppose but they shouldn't have cashed for two reasons no money  in my acct to cover and his name not on my acct but those checks got by them and the state caught it so they take out on me They say I gave my acct number to my fiancé as their excuse  can you believe that well I'm still  going through this they stole my money and I have no bank acct  because I sent money to my fiancé who got scammed too now I'm paying for it and the guy can't be found  So anyone be careful this bank is not people friendly I tell you I have learned from this I am 58 yrs old not been in trouble and this is the most awful thing ever beware  thank you</div>]",,,bbb.org,checking
23,23,uday s,09/18/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have been a Bank OF America business customer for last 15 years and recently from last 3 years their service has been degrading as they have been shutting down drive troughs and running most of the locations with hardly 1 or 2 tellers. As a business customer i have to go at least 3 times a week and takes at-least 30 mins to 1 hour. I am planning to change my bank as i don't see any improvements as i complained the staff about the trouble banking with them multiple times.
</div>, <div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.</div>]",10/02/2020,"Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.",bbb.org,
24,24,Sarah M,09/17/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">They told me that my check balance would be available in 24 hours then they changed it to four days now it went up to 2 weeks. They are a bank, in 2 minutes they can see if the account has sufficient funds they just hold the checks to acrew interest. They are such a scam</div>, <div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.</div>]",10/02/2020,"Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.",bbb.org,
25,25,Azeena,09/16/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have been banking with Bank of America since I was 16, I'm almost 30 now. So almost half my life. 

My mother recently passed away and I am working on closing my mom's accounts and it have been a nightmare working with BofA. My mother thought she had everything in order for her passing - she had a living trust listing me as her trustee, she included her safety deposit box in the trust, she listed myself and my brother as the beneficiary of her accounts. 

They waited a month to send us the paperwork from their internal estate department. The paperwork didn't have very much information in it other than to go into a branch AND they included 3 other claims along with my mom for other people's estates. My condolences go out to the families of *************, *****************, and ****************. We emailed the estate services department letting them know they had done this so that they could get the claims out to the correct families. But we don't know if this ever happened since we never got a response. This was our first red flag. 

Next we made an appointment to go into our local branch since that is what the paperwork said. When we got there the bank told us we would have to come back in a week because we have to wait 40 days from passing. It would have been nice if the paperwork included that tidbit. 

So we come back after 40 days and they take all the information from us and tell us that a check will be mailed to us in 3-10 business days. Well it is day 8 and the funds are still in my deceased mother's accounts. AND I have been trying to get a hold of Brenda from North Toluca Lake branch to get us into mom's safety deposit box for 2 weeks. I finally talked to her today and she says we need to fill out a small estate affidavit and have it notarized before we can get to the safety deposit box.... so in the giant packet I received from estate services they didn't think to include this form I would need to fill out and at the 2 bank of america meeting they didn't think that was something they should have told me so to condense all this back and forth. 

Not to mention the amount of people I have to talk to and explain that my mom is dead and all the questions that come with it. This whole experience has been a nightmare. My mom has been gone for 2 months now and bank of america hasn't done anything to help us in closing out her accounts. I really just want to be done with this whole chapter of my life but it's hard when you're waiting on other people/companies to do their jobs. 

Fun Fact: *********** got us everything we needed in 1 phone call and 1 branch visit. They also provided us a point person so that I didn't have to keep repeating myself. I think I have found my new bank. </div>]",,,bbb.org,
26,26,Andrew W,09/14/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Hold times are wayyyyy too long with no callback option.  I have a client who needs to close his HELOC so he can complete his refinance but he doesn't have time to sit on hold to do this.  He just needs a call back or a direct line to reach someone.  I know you guys are busy due to Covid as we all are but you need to at a minimum be able to get a call back.  </div>]",,,bbb.org,
27,27,Darrl S.,09/13/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Bank of America is focused on charging service fees instead of putting their customers best interests first.  They charged my checking account a $12 monthly fee because i didn't direct deposit more than $250 in a single transaction.  I closed my account as a result.  They then targeted my credit card by charging me a $39 fee when I accidentally made my payment 1 day late.  I called for a courtesy credit and they refused.  They are vultures and I would highly recommend that any one with a brain bank elsewhere.  AVOID BANK OF AMERICA unless you like to be ripped off by constant service fees.  They are only interested in profit not your well being.</div>]",,,bbb.org,credit card
28,28,Raj,09/11/2020,2,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">They have made it impossible to get help without being on hold for 90 minutes.  No call back option.  You just need to be on hold for the entire duration.  Bank on site manager was not helpful either.  It feels like a third world government run institution.  Just plan to be patient if you do business with them.  The help on the phone is good when you do get to them.  </div>]",,,bbb.org,
29,29,Ed H,09/08/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have been a longtime customer of Bank Of America (BOA) and have never disputed a charge on either my personal or business credit card.  In May 2020 i ordered a smart watch from an online company Ecomerzpro. after 60 days not receiving the product and not getting a reply from the merchant I disputed the charges with Bank Of America.  They gave me temporary credit for the charges and sent me emails explaining the credit.  When my Sept bill arrived the charge was back on my bill. I called BOA and after 90 minuets on hold and being transferred to 3 different departments I spoke to a representative and she said that they had a proof of delivery of the product.  I had not received any notification from BOA re: proof of delivery.  I ask for a copy to be emailed and she said she could not email me a copy.  They email my statement, but can't email a proof of delivery.  She said she would mail USPS.  Today after 7 days I still did not receive a copy so i called customer service again.  After 2 1/2 hours on hold and being transfer to 3 different departments and being cut off I was told they were not approving my dispute. I don't understand how they can't see the reviews on the internet for Ecomerzpro wouldn't suggest they are not reliable.  No one at BOA considered my many years of being an solid customer, rather they sided with the foreign company.  I closed all on my accounts toady with BOA.</div>, <div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.</div>]",09/11/2020,"Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.",bbb.org,credit card
30,30,Jennifer C,09/03/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">BACK OF AMERICA DOESN'T CARE ABOUT THEIR CUSTOMERS AT ALL. 

I opened an account with Bank of America when I was 18; I'm now 40, so I've been a very loyal customer for over 20 years. In that time, I have never once complained, reported any issues, etc.. However, I was recently a victim of fraud when someone online was able to access my accounts, and long story short, they stole over $5,000 from my Bank Of America checking account. I saw this immediately, and was physically at my nearest branch less than 30 minutes after it happened, and had already called in to report it as well. The money taken from my account was sent to an unknown person via Zelle and Cash App. Bank of America promotes Zelle on their site, and has a relationship with them, so I hoped they would be able to at least stop those transactions from posting since all of the transactions were still in pending status. They did nothing to stop the transactions, and instead told me that they need them to fully process before they can do anything. WHAT?!?! That makes no sense to me at all, but I thought, 'OK, this is their process. They know what they're doing.' I now know that's not the case. 

When I sat down with the bank rep, I was shaking and in tears. I couldn't believe this was happening! I just bought a house, and have a new mortgage to pay, but I was assured that Bank Of America covers you 100% against fraud. FALSE! If you read the fine print, they don't cover you at all against cyber attacks such as this. The woman contacted the fraud department on the phone, and as I sat in that office, I continued receiving texts showing money being pulled from my account. She saw this, and reported it to the person on the phone. I provided them with all of the necessary info, and after freezing/closing my accounts and opening new ones, I left with high hopes of getting my money back once they investigated.

I was told the investigations (there was one for Zelle and another for Cash app) could take up to 90 days. I reported this fraud on August 24th; just 9 days later, I receive an email stating the Cash app investigation was closed. They had determined that I would NOT be getting that money back. I went straight to the local branch, looking for an explanation, as the email gave no details of their reasoning. They again called the fraud department, and the man on the phone essentially called me a liar. He said that with fraud, they would NORMALLY see more transaction attempts after the account is frozen/closed, but since they didn't see this happening, it MUST be fraud on my part; they must have KNOWN the account was frozen! I explained to him that they did in fact make another attempt and Cash app declined it because they apparently recognized it as being suspicious. I had proof of this, which I provided to the bank rep to submit. I understand that many things tend to follow patterns, but to tell me my money is just gone simply because something out of what they consider the norm took place, I was devastated. Did they even look at anything else? Did they take into consideration that I was there within minutes of this happening, literally begging them to do whatever they could to stop those from fully processing? Did they look at the fact that the Bank Of America rep saw the texts coming through on my phone stating money was still being taken from my account? Does the fact that I have more money in there now than I have in my 20 loyal years with them not tell them anything? If I were going to commit fraud, wouldn't I have tried that when I only had a few hundred in my account and was struggling? No, they don't care about any of that. All they look for is ANY reason to deny your claim, and to call you a liar and a thief. 

They have re-opened that investigation in light of some additional things I was able to supply (which I think should have been asked for on day 1), and I am currently waiting for the results of both, but those high hopes I had at the beginning are gone. I have zero faith in this bank to actually look at everything I've submitted, and to try to understand how it feels to have your hard earned money just taken from you. At this point, I've reported this to my local police department, and have spent countless hours on the phone with anyone who will listen. Even the officer that took my report said, 'I can't believe Bank Of America isn't doing anything more to help you'. He told me that he wasn't trying to give me financial advice, but that he'd never do business with them again if he were me. Yes, officer, I would say you're 100% correct on that. 

Ultimately, being a ""valued"" platinum rewards customer, and being with this institution for over 20 years doesn't mean squat to them. I'm not a millionaire, but I do have a decent amount of money in my accounts. They've certainly made much more in interest off my money than was stolen from me, but that also doesn't matter.

I do hope that the results of that new investigation will be different, and that I'll receive good news on the Zelle transactions, but I'm not confident in this at all. I haven't pulled my money out yet because I feel like they're definitely not going to try to help me if they have nothing to gain from it. I will absolutely be taking my business elsewhere though if they come back with the same response. This means spending several more hours opening a new account with another bank, going through every bill I pay with my bank account one at a time to cancel autopays and set up new ones, and contacting my employer once again to have them change my direct deposit information. It's a huge inconvenience, but I don't feel safe with Bank Of America, and I no longer trust them. 

If anyone has taken the time to read this entire review, I urge you to take your business and your money elsewhere. Find a smaller bank/credit union that treats you with respect, and actually sees you as a human being, because I would never want anyone to feel like I do now. I feel helpless and defeated. Bank Of America, I wish you would treat others as you would have them treat you, but that's clearly asking too much. 

In the end, Bank Of America is too big to care about one little customer like me (or you!). We're just a bank account number to them, a source of interest for them to profit from, and nothing more. </div>]",,,bbb.org,mortgage
31,31,Tony,08/29/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Constantly trying to get help but their processes are insanely slow and give no information that is important to the customer. I get told one thing but when time passes and I have to call again they said no it's going to take longer than you were told before.</div>]",,,bbb.org,
