,name,date,stars,text,boaDate,boaText,source
10,Jenn,12/02/2020,1,"So disappointed.  Big Business = horrible customer serviceSo disappointed in BOA.  I was traveling and came home the day my payment was due.  I drove to three physical branches until I found one that wasn\u0027t \u0022temporarily closed\u0022, it was after hours so I deposited my payment into the night drop.  They processed the next morning, but added a $25 late fee to my account.  I\u0027ve been a customer since 2003 and have NEVER had a late payment before.  I called and explained the situation to them, they said it was a valid charge and they would not remove the late fee.  What HORRIBLE customer service.  I asked what the process was to close my account, the  customer rep informed me of what damage I could do to my credit score if I closed a credit card account with 30K worth of credit. Really?  I\u0027m certain they could care less about my credit score.  This was just my back-up credit card to use in case someone doesn\u0027t accept our Discover card.  BTW, Discover has the BEST customer service ever.  I guess I\u0027m used to them treating me like they appreciate my business.... not like an inconvenience.  I\u0027m OUTTA here, BOA!",,,trustpilot.com
11,Tracy Hutchinson,12/02/2020,1,Bank of america is getting worse and…Bank of america is getting worse and worse 14 years and about to change banks the atm machines are always broken and now you deposit checks and no money available until the next day WTH!,,,trustpilot.com
12,Casey Murphy,12/02/2020,1,"Someone stole $2400 out of my bank…Someone stole $2400 out of my bank account and BOA, seems to think it was me and refused to pay back. I have 4 credit cards, limits totaling $40,000. I have 2 checking accounts with much more than that. I\u0027ve been a customer since 1991, have a squeaky clean background and I\u0027m elderly.\nThey just decided that since I took out $600 in August, it MUST be me. After my attorney settles this matter my husband and I will remove all accounts. \nStay as far away as you can from these losers!!",,,trustpilot.com
13,Siobhan,12/01/2020,5,"Exactly the help I neededI rang up, asked for help, got straight through, was helped, and everything went smoothly with no stress. Perfect! Thanks Josh",,,trustpilot.com
14,Hema Amgad,11/25/2020,1,"Worst bank everWorst bank ever, they closed my account for absolutely no reason. When I call they said they made a business decision. And they did this during COVID !! No mercy!! All they care about is money.",,,trustpilot.com
15,Champaign C,11/25/2020,1,"THEY ARE THE WORSTTHEY ARE THE WORST! SUCH AN INCOMPETENT BUNCH OF SCROOGES! I literally just witnessed my Co Worker have a melt down on the phone with these foolish imbeciles! The lies and rude tone the Manager (Erin) used with her was enough to make me get up and walk out of the office. I literally had to step out to keep myself from grabbing the phone and cursing her out! Who freezes an account and then still try to take out money for a payment plan through them?! And the kicker is, when they can\u0027t get the funds (that they are CURRENTLY holding) they add a $35 dollar INSUFFICIENT FUNDS FEE!!!??? Please make that make sense! She got charged $35 dollars 6x\u0027s in 1 day! \n\nThey are heartless, rude, and just down right scammers! BANK OF AMERICA is the \u0022JOANNE THE SCAMMER\u0022 of the banking industry! PLEASE DO NOT PATRONIZE THEM!",,,trustpilot.com
16,Olivia Fischetti,11/24/2020,1,"I rarely leave reviews...I rarely leave reviews... which is why I found it extremely necessary to express how terrible of a company this is. The customer service is incompetent and unhelpful, and this is coming from someone who had proper training to work in this industry. After being charged for an incorrect payment that was not visible to my account, I was then charged an overdraft fee of $35 for \u0022not having sufficient time to make the change.\u0022 They refuse to refund my money until they see a change from the merchant, which as most of us know takes 3-5 business days. First of all... $35 for an overdraft fee? Ridiculous, please sit down. Also, how do you expect your customers to keep track of our funds and make time to create change to our account if you don\u0027t post every transaction on our online banking account? I am happily changing banks, what a joke of a company. Highly do NOT recommend.",,,trustpilot.com
17,Carol Callahan,11/24/2020,1,The only physical location within an…The only physical location within an hour drive is \u0022temporarily\u0022 closed with no date as to when they will open. This is the same location that closed their drive through service a couple years ago. Can\u0027t use online service for the business I need to conduct. Horrible organization when it comes to customer service.,,,trustpilot.com
18,K. Gilbert,11/20/2020,5,"Hello !!Hello !!\n\nLooking for the best cryptocurrency investment platform ?\n\nI highly recommend |Www❤️BTCarbitrage.live❤️|,They offer a high ROI and their withdrawal is automatic.",,,trustpilot.com
19,Lonnie Morris,11/20/2020,2,I deposited my check into the atm and…I deposited my check into the atm and to my surprise no cash back so I called and was told they no longer give you cash and you have to wait till Tuesday now I\u0027ll be late paying my bill or getting fuel to get to work,,,trustpilot.com
20,Walter,12/07/2020,1,"Customer ServiceI have been a customer for many, many years and all I can say is that the customer service at the bank is terrible.  Today, the line to see the teller was getting long and I asked the manager to get some help and her response was that she had a client and was too busy to assist all the customers in line.  As time went on, the people in line started to complain more and more.  The manager came out of the office and was listening to the complaints as she was speaking with another representative and they laughed about the whole situation before she returned to her office.\n\nBecause of the long line and the lack of consideration that the bank showed to its customers, two customers made decisions that were not favorable for the bank.  One customer left in a huff and the other customer who I was speaking to decided to withdraw more than 20k dollars and close his accounts.\n\nIf this is what the bank in Sun City Center wished, then it received its wishes.\n\nI am seriously considering closing all my accounts with the bank because of its lack of customer service",,,trustpilot.com
21,Jasper,12/06/2020,4,"I would recommend people think very…I would recommend people think very careful as trying to get your money back is very difficult with agents basically calling you scared for withdrawing, mocking you and then hanging up! I will highly recommend  kelvinwayney[AT]aol c they\u0027re Sincere and honest in all way round they helped me got everything i lost",,,trustpilot.com
22,Michele Grimaldi,12/06/2020,1,"I have been with BOA for many yearsI have been with BOA for many years.  I\u0027ve had some issues but nothing to bad. But after many years I\u0027m closing my accounts bc I don\u0027t believe that they should have a political agenda.  They gave over 1 million dollars to BLM , a hateful violent group that burn American Flags and destroyed small businesses in communities and attacks people who are not on their side. Why not donate to the hungry,  homeless veterans or food banks.  So with this I\u0027m leaving. Screw you BOA EXECUTIVES and SHAME ON YOU.",,,trustpilot.com
23,Jamal,12/04/2020,1,"One of the worst banks out thereOne of the worst banks out there. Charge for everything, give no interest, and branches closing left and right. Garbage",,,trustpilot.com
24,inez Butler,12/04/2020,3,"Bank of America located at 105 NBank of America located at 105 N. Congress Avenue Lake Park , Florida 33403 need to reopen the Drive Through Window for their customers. It was opened when the bank was remodeling and now it is closed again. Many Senior Citizen Customers are standing outside with their walkers and canes waiting to be called into the bank. Many of these customers have underlined conditions, weak, sickly, and should not be treated in such a poorly manner. Open the drive through window like many of the other Bank of America’s locations are doing for their customers. Riviera Beach location treat your customers with the respect they truly deserve.",,,trustpilot.com
25,Hell with zelle ,12/04/2020,1,Zero stars if it was an option account…Zero stars if it was an option account has never been negative I failed to deposit a couple weeks of checks and when I finally got around to it there was a over draft of 21 dollars I called politely to ask to have them waive the fee one time since I’ve never over drafted and the lady as rude as could be told me she would not do it and she would not give any explanation as to why I’ve banked many other places and this would be the first time in my life a one time overdraft fee couldn’t be waive mind you the over draft fee was way more than what the account became negative terrible banking policies and Gawd awful customer service !!,,,trustpilot.com
26,Richard Parker,12/03/2020,1,"Been with boa 10yrs and never missed a payment a…Been with boa 10yrs and never missed a payment and account  was canceled yesterday. 3yrs ago had failed marriage  were she did not pay anything for 2 months but none of my cards missed a payment once I found out she stopped payment I got removed from her accounts and dropped to 520 since I\u0027ve maintain 3 cards and vehicle loan with no missed payments and got score back up to 640.\n3 cards I have 2 were at 0 balance with the boa card being positive money.\nI figured I\u0027d ask for more credit since it\u0027s only a 500 card I\u0027ve held onto for 10yrs.\nThey said no.\nOk I was fine with that.\n3 days later they closed my account saying my limits were too high,my utilization  was too high and I had too many derogatory  cards .\nMy utilization is at 17%\n2 cards at 0 one less than 50%\nI have 0 recent derogatory directly in my name and not because of my partner in 3yrs.\nAnd I never missed at payment.\nPretty odd to me since I\u0027ve thinking I\u0027ve been doing good.\nI\u0027ve went threw thousands on their card in 10yrs and never missed a payment.\nAt this point I\u0027m worried that this is going to negatively effect my credit as far as how long I\u0027ve had credit and my current utilization numbers or it being some sort of negative factor.\nI\u0027ve been working so hard to keep everything good and I feel like this is going to negatively impact me for being in perfect credit with them.\nNow I feel like I\u0027m being stabbed in the back after 10yrs of being a loyal customer and paying on time.\nGreat job BOA.\n\nTook 10yrs to realize.\nHighly recommend to stay away something is very funny about this credit line.\n\nJust had to add to this. Next day 12/4\n\nToday I woke up with a email from one of my other credit cards increasing my line from 2000 to 4750 without me asking saying it\u0027s for me being responsible with my payments and because of my credit report.\nSomething is really wrong with BOA.\nCapital One is great and has added a bounce  to my step this morning.",,,trustpilot.com
27,Ron Sotto,12/03/2020,1,"I have had my account since 1988 and mostly bad experiencesI have had my account since 1988 and there has been so many bad experiences from Checks not sent.  Accounts closed with no notifications and with Alerts setup.  Even being transferred to another department just to get a message that we are not getting calls at this time and to try to call again later.  Just getting to correct department is so time consuming. More then half the time I get transferred to the wrong department.\n\nI don\u0027t understand why you need 2 signatures to remove a person from a joint account but 1 signatures required if you close the joint account.\n\nI have already opened an account with Chase.  All I use my BofA account for is to pay for Bills.  I almost ready to close my account and transfer out my $29k balance.  I am waiting on a call from the Bank because when I was transferred to another department, it said too busy, try again.",,,trustpilot.com
28,Luca Graziano,12/03/2020,1,Terrible TerribleTerribleTerrible on…Terrible TerribleTerribleTerrible on the phone for hours for one simple question,,,trustpilot.com
29,ezidinma Anyeji,12/02/2020,1,"(Teterboro nj  branch)I walked into…(Teterboro nj  branch)I walked into this establishment December, 2 ,2020. I wanted assistance with a deposit. I go to the teller and as usual he tells me the deposit slips are behind me. I grab a deposit slip as I’m walking back to the teller window to ask a question about the slip another teller at least 3 chairs down yells to me I’m not aloud to stand at the window. I replied to her I needed to ask a question she then responded how hard is it to fill out a slip, name, date and address. I continued to ask my question to the teller that was assisting  me but she continues to say”tell him to move tell him to move” so I responded Your not even helping me I don’t understand what the problem is? As I open my mouth to ask him my question she interrupted me yet again so I angrily responded “tell her to shut the f*** up” she then told me to get out. I told her I’m a customer here that I put my money in this bank you can call the police because I’m not leaving I also told her You need to show some respect. She told me that I needed to show her respect. The manager comes out because it’s now a big commotion between us two. The manager speaks to me and allows me to finish up my deposit with the teller, as the teller is completing my deposit the manager and I  are discussing the situation as her employee is still ranting very loud behind the teller glass. I express to the manager to watch how her employee is acting this is the same behavior she gave me upon walking in. I asked for her employees name because I made a formal complaint with boa she refused to give it to me. The manager then told me we are both at fault because I used foul language. She also told me it’s been a long day which I told her I understand it happens. But I never approached nor opened my mouth to ask that angry teller anything. So why is she taking her day out on me?wasn’t even at her window. So I’m still confused as to her deranged behavior all in all this was a bad experience",,,trustpilot.com
30,Jenn,12/02/2020,1,"So disappointed.  Big Business = horrible customer serviceSo disappointed in BOA.  I was traveling and came home the day my payment was due.  I drove to three physical branches until I found one that wasn\u0027t \u0022temporarily closed\u0022, it was after hours so I deposited my payment into the night drop.  They processed the next morning, but added a $25 late fee to my account.  I\u0027ve been a customer since 2003 and have NEVER had a late payment before.  I called and explained the situation to them, they said it was a valid charge and they would not remove the late fee.  What HORRIBLE customer service.  I asked what the process was to close my account, the  customer rep informed me of what damage I could do to my credit score if I closed a credit card account with 30K worth of credit. Really?  I\u0027m certain they could care less about my credit score.  This was just my back-up credit card to use in case someone doesn\u0027t accept our Discover card.  BTW, Discover has the BEST customer service ever.  I guess I\u0027m used to them treating me like they appreciate my business.... not like an inconvenience.  I\u0027m OUTTA here, BOA!",,,trustpilot.com
31,Tracy Hutchinson,12/02/2020,1,Bank of america is getting worse and…Bank of america is getting worse and worse 14 years and about to change banks the atm machines are always broken and now you deposit checks and no money available until the next day WTH!,,,trustpilot.com
32,Casey Murphy,12/02/2020,1,"Someone stole $2400 out of my bank…Someone stole $2400 out of my bank account and BOA, seems to think it was me and refused to pay back. I have 4 credit cards, limits totaling $40,000. I have 2 checking accounts with much more than that. I\u0027ve been a customer since 1991, have a squeaky clean background and I\u0027m elderly.\nThey just decided that since I took out $600 in August, it MUST be me. After my attorney settles this matter my husband and I will remove all accounts. \nStay as far away as you can from these losers!!",,,trustpilot.com
33,Siobhan,12/01/2020,5,"Exactly the help I neededI rang up, asked for help, got straight through, was helped, and everything went smoothly with no stress. Perfect! Thanks Josh",,,trustpilot.com
34,Hema Amgad,11/25/2020,1,"Worst bank everWorst bank ever, they closed my account for absolutely no reason. When I call they said they made a business decision. And they did this during COVID !! No mercy!! All they care about is money.",,,trustpilot.com
35,Champaign C,11/25/2020,1,"THEY ARE THE WORSTTHEY ARE THE WORST! SUCH AN INCOMPETENT BUNCH OF SCROOGES! I literally just witnessed my Co Worker have a melt down on the phone with these foolish imbeciles! The lies and rude tone the Manager (Erin) used with her was enough to make me get up and walk out of the office. I literally had to step out to keep myself from grabbing the phone and cursing her out! Who freezes an account and then still try to take out money for a payment plan through them?! And the kicker is, when they can\u0027t get the funds (that they are CURRENTLY holding) they add a $35 dollar INSUFFICIENT FUNDS FEE!!!??? Please make that make sense! She got charged $35 dollars 6x\u0027s in 1 day! \n\nThey are heartless, rude, and just down right scammers! BANK OF AMERICA is the \u0022JOANNE THE SCAMMER\u0022 of the banking industry! PLEASE DO NOT PATRONIZE THEM!",,,trustpilot.com
36,Olivia Fischetti,11/24/2020,1,"I rarely leave reviews...I rarely leave reviews... which is why I found it extremely necessary to express how terrible of a company this is. The customer service is incompetent and unhelpful, and this is coming from someone who had proper training to work in this industry. After being charged for an incorrect payment that was not visible to my account, I was then charged an overdraft fee of $35 for \u0022not having sufficient time to make the change.\u0022 They refuse to refund my money until they see a change from the merchant, which as most of us know takes 3-5 business days. First of all... $35 for an overdraft fee? Ridiculous, please sit down. Also, how do you expect your customers to keep track of our funds and make time to create change to our account if you don\u0027t post every transaction on our online banking account? I am happily changing banks, what a joke of a company. Highly do NOT recommend.",,,trustpilot.com
37,Carol Callahan,11/24/2020,1,The only physical location within an…The only physical location within an hour drive is \u0022temporarily\u0022 closed with no date as to when they will open. This is the same location that closed their drive through service a couple years ago. Can\u0027t use online service for the business I need to conduct. Horrible organization when it comes to customer service.,,,trustpilot.com
38,K. Gilbert,11/20/2020,5,"Hello !!Hello !!\n\nLooking for the best cryptocurrency investment platform ?\n\nI highly recommend |Www❤️BTCarbitrage.live❤️|,They offer a high ROI and their withdrawal is automatic.",,,trustpilot.com
39,Lonnie Morris,11/20/2020,2,I deposited my check into the atm and…I deposited my check into the atm and to my surprise no cash back so I called and was told they no longer give you cash and you have to wait till Tuesday now I\u0027ll be late paying my bill or getting fuel to get to work,,,trustpilot.com
40,Walter,12/07/2020,1,"Customer ServiceI have been a customer for many, many years and all I can say is that the customer service at the bank is terrible.  Today, the line to see the teller was getting long and I asked the manager to get some help and her response was that she had a client and was too busy to assist all the customers in line.  As time went on, the people in line started to complain more and more.  The manager came out of the office and was listening to the complaints as she was speaking with another representative and they laughed about the whole situation before she returned to her office.\n\nBecause of the long line and the lack of consideration that the bank showed to its customers, two customers made decisions that were not favorable for the bank.  One customer left in a huff and the other customer who I was speaking to decided to withdraw more than 20k dollars and close his accounts.\n\nIf this is what the bank in Sun City Center wished, then it received its wishes.\n\nI am seriously considering closing all my accounts with the bank because of its lack of customer service",,,trustpilot.com
41,Jasper,12/06/2020,4,"I would recommend people think very…I would recommend people think very careful as trying to get your money back is very difficult with agents basically calling you scared for withdrawing, mocking you and then hanging up! I will highly recommend  kelvinwayney[AT]aol c they\u0027re Sincere and honest in all way round they helped me got everything i lost",,,trustpilot.com
42,Michele Grimaldi,12/06/2020,1,"I have been with BOA for many yearsI have been with BOA for many years.  I\u0027ve had some issues but nothing to bad. But after many years I\u0027m closing my accounts bc I don\u0027t believe that they should have a political agenda.  They gave over 1 million dollars to BLM , a hateful violent group that burn American Flags and destroyed small businesses in communities and attacks people who are not on their side. Why not donate to the hungry,  homeless veterans or food banks.  So with this I\u0027m leaving. Screw you BOA EXECUTIVES and SHAME ON YOU.",,,trustpilot.com
43,Jamal,12/04/2020,1,"One of the worst banks out thereOne of the worst banks out there. Charge for everything, give no interest, and branches closing left and right. Garbage",,,trustpilot.com
44,inez Butler,12/04/2020,3,"Bank of America located at 105 NBank of America located at 105 N. Congress Avenue Lake Park , Florida 33403 need to reopen the Drive Through Window for their customers. It was opened when the bank was remodeling and now it is closed again. Many Senior Citizen Customers are standing outside with their walkers and canes waiting to be called into the bank. Many of these customers have underlined conditions, weak, sickly, and should not be treated in such a poorly manner. Open the drive through window like many of the other Bank of America’s locations are doing for their customers. Riviera Beach location treat your customers with the respect they truly deserve.",,,trustpilot.com
45,Hell with zelle ,12/04/2020,1,Zero stars if it was an option account…Zero stars if it was an option account has never been negative I failed to deposit a couple weeks of checks and when I finally got around to it there was a over draft of 21 dollars I called politely to ask to have them waive the fee one time since I’ve never over drafted and the lady as rude as could be told me she would not do it and she would not give any explanation as to why I’ve banked many other places and this would be the first time in my life a one time overdraft fee couldn’t be waive mind you the over draft fee was way more than what the account became negative terrible banking policies and Gawd awful customer service !!,,,trustpilot.com
46,Richard Parker,12/03/2020,1,"Been with boa 10yrs and never missed a payment a…Been with boa 10yrs and never missed a payment and account  was canceled yesterday. 3yrs ago had failed marriage  were she did not pay anything for 2 months but none of my cards missed a payment once I found out she stopped payment I got removed from her accounts and dropped to 520 since I\u0027ve maintain 3 cards and vehicle loan with no missed payments and got score back up to 640.\n3 cards I have 2 were at 0 balance with the boa card being positive money.\nI figured I\u0027d ask for more credit since it\u0027s only a 500 card I\u0027ve held onto for 10yrs.\nThey said no.\nOk I was fine with that.\n3 days later they closed my account saying my limits were too high,my utilization  was too high and I had too many derogatory  cards .\nMy utilization is at 17%\n2 cards at 0 one less than 50%\nI have 0 recent derogatory directly in my name and not because of my partner in 3yrs.\nAnd I never missed at payment.\nPretty odd to me since I\u0027ve thinking I\u0027ve been doing good.\nI\u0027ve went threw thousands on their card in 10yrs and never missed a payment.\nAt this point I\u0027m worried that this is going to negatively effect my credit as far as how long I\u0027ve had credit and my current utilization numbers or it being some sort of negative factor.\nI\u0027ve been working so hard to keep everything good and I feel like this is going to negatively impact me for being in perfect credit with them.\nNow I feel like I\u0027m being stabbed in the back after 10yrs of being a loyal customer and paying on time.\nGreat job BOA.\n\nTook 10yrs to realize.\nHighly recommend to stay away something is very funny about this credit line.\n\nJust had to add to this. Next day 12/4\n\nToday I woke up with a email from one of my other credit cards increasing my line from 2000 to 4750 without me asking saying it\u0027s for me being responsible with my payments and because of my credit report.\nSomething is really wrong with BOA.\nCapital One is great and has added a bounce  to my step this morning.",,,trustpilot.com
47,Ron Sotto,12/03/2020,1,"I have had my account since 1988 and mostly bad experiencesI have had my account since 1988 and there has been so many bad experiences from Checks not sent.  Accounts closed with no notifications and with Alerts setup.  Even being transferred to another department just to get a message that we are not getting calls at this time and to try to call again later.  Just getting to correct department is so time consuming. More then half the time I get transferred to the wrong department.\n\nI don\u0027t understand why you need 2 signatures to remove a person from a joint account but 1 signatures required if you close the joint account.\n\nI have already opened an account with Chase.  All I use my BofA account for is to pay for Bills.  I almost ready to close my account and transfer out my $29k balance.  I am waiting on a call from the Bank because when I was transferred to another department, it said too busy, try again.",,,trustpilot.com
48,Luca Graziano,12/03/2020,1,Terrible TerribleTerribleTerrible on…Terrible TerribleTerribleTerrible on the phone for hours for one simple question,,,trustpilot.com
49,ezidinma Anyeji,12/02/2020,1,"(Teterboro nj  branch)I walked into…(Teterboro nj  branch)I walked into this establishment December, 2 ,2020. I wanted assistance with a deposit. I go to the teller and as usual he tells me the deposit slips are behind me. I grab a deposit slip as I’m walking back to the teller window to ask a question about the slip another teller at least 3 chairs down yells to me I’m not aloud to stand at the window. I replied to her I needed to ask a question she then responded how hard is it to fill out a slip, name, date and address. I continued to ask my question to the teller that was assisting  me but she continues to say”tell him to move tell him to move” so I responded Your not even helping me I don’t understand what the problem is? As I open my mouth to ask him my question she interrupted me yet again so I angrily responded “tell her to shut the f*** up” she then told me to get out. I told her I’m a customer here that I put my money in this bank you can call the police because I’m not leaving I also told her You need to show some respect. She told me that I needed to show her respect. The manager comes out because it’s now a big commotion between us two. The manager speaks to me and allows me to finish up my deposit with the teller, as the teller is completing my deposit the manager and I  are discussing the situation as her employee is still ranting very loud behind the teller glass. I express to the manager to watch how her employee is acting this is the same behavior she gave me upon walking in. I asked for her employees name because I made a formal complaint with boa she refused to give it to me. The manager then told me we are both at fault because I used foul language. She also told me it’s been a long day which I told her I understand it happens. But I never approached nor opened my mouth to ask that angry teller anything. So why is she taking her day out on me?wasn’t even at her window. So I’m still confused as to her deranged behavior all in all this was a bad experience",,,trustpilot.com
50,Jenn,12/02/2020,1,"So disappointed.  Big Business = horrible customer serviceSo disappointed in BOA.  I was traveling and came home the day my payment was due.  I drove to three physical branches until I found one that wasn\u0027t \u0022temporarily closed\u0022, it was after hours so I deposited my payment into the night drop.  They processed the next morning, but added a $25 late fee to my account.  I\u0027ve been a customer since 2003 and have NEVER had a late payment before.  I called and explained the situation to them, they said it was a valid charge and they would not remove the late fee.  What HORRIBLE customer service.  I asked what the process was to close my account, the  customer rep informed me of what damage I could do to my credit score if I closed a credit card account with 30K worth of credit. Really?  I\u0027m certain they could care less about my credit score.  This was just my back-up credit card to use in case someone doesn\u0027t accept our Discover card.  BTW, Discover has the BEST customer service ever.  I guess I\u0027m used to them treating me like they appreciate my business.... not like an inconvenience.  I\u0027m OUTTA here, BOA!",,,trustpilot.com
51,Tracy Hutchinson,12/02/2020,1,Bank of america is getting worse and…Bank of america is getting worse and worse 14 years and about to change banks the atm machines are always broken and now you deposit checks and no money available until the next day WTH!,,,trustpilot.com
52,Casey Murphy,12/02/2020,1,"Someone stole $2400 out of my bank…Someone stole $2400 out of my bank account and BOA, seems to think it was me and refused to pay back. I have 4 credit cards, limits totaling $40,000. I have 2 checking accounts with much more than that. I\u0027ve been a customer since 1991, have a squeaky clean background and I\u0027m elderly.\nThey just decided that since I took out $600 in August, it MUST be me. After my attorney settles this matter my husband and I will remove all accounts. \nStay as far away as you can from these losers!!",,,trustpilot.com
53,Siobhan,12/01/2020,5,"Exactly the help I neededI rang up, asked for help, got straight through, was helped, and everything went smoothly with no stress. Perfect! Thanks Josh",,,trustpilot.com
54,Hema Amgad,11/25/2020,1,"Worst bank everWorst bank ever, they closed my account for absolutely no reason. When I call they said they made a business decision. And they did this during COVID !! No mercy!! All they care about is money.",,,trustpilot.com
