,name,date,rating,text,product,source,gender,incident_month,incident_day,geod,count,weekday
14,Theresa Marie,2012-07-25,4,"I like the Bank of America Visa because it's easy to use and gives me good rewards. I earn one point for each dollar I spend and can trade the points in for cash or prizes. I also like the Bank of America Visa credit card because you can personalize them. For example, my credit card has a picture of Hello Kitty on it. The Bank of America Visa credit card is my first credit card ever. I have had it for about four years now and I would not consider changing to a different card. I can use it anywhere and it is very convenient.",Bank of America Credit Cards,wallethub.com,female,7,25,15,1,2
15,Devin Joseph Parada,2012-07-25,4,This is a decent card. I got this card my senior year of college and it seemed to work just fine for my needs. I enjoy being able to transfer funds from my bank to my credit card form my checking account via my mobile banking app on my smartphone. It allows me to build credit so when I am out of college I can get an apartment or something. Although I do believe that it needs a grace period because it is made for students trying to build credit. Another criticism I have about this card is that the rates are too high for it being a card for students.,Bank of America Credit Cards,wallethub.com,male,7,25,16,1,2
16,Dorothy Dobbins,2012-07-25,4,"I first signed up for this card when I went off to college. At first I wasn't able to get it because I had no credit history and I tried applying with my mom, but I was rejected. After a month I reapplied with my dad and that somehow got me the card. The card was really nice for me to build credit. I first used it to make a couple small purchases and I was able to pay the bills on time. After a few months of this, I had a decent credit score. Now I can rest easy knowing that I won't have to rely on my parents too much after I leave college and get my own place.",Bank of America Credit Cards,wallethub.com,female,7,25,17,1,2
17,Mandi Lawrence,2012-07-25,4,"I've had this credit card for several months and it's come in VERY handy! However, if I don't use it each month, they charge interest. As long as you use it every month and pay it off, you don't really have to worry about the interest. Bank of America has been very helpful and it's always easy to contact someone if I have any questions. Their website makes it SUPER easy to view everything related to my card. I highly recommend this for students just starting out with credit, but remember- PAY IT OFF EVERY MONTH and don't think it gives you money, you're just BORROWING money!",Bank of America Credit Cards,wallethub.com,female,7,25,18,1,2
18,Jeremy Kozak,2012-07-25,5,"I've had this credit card for a few years now and I've never once had a problem with it. It's functioned exactly like I hoped it would. As long as you stay on top of your payments like I have done the no issues will ever arise. One feature I especially like is the ability to handle payments and notifications online. There is no need to deal with possible human error; everything is clean and simple. I will say that there is not any real incentive to having this card besides its simplicity and decent rates. There is no substantial reward system in place for choosing this card over competitor’s cards. If you are looking for a card that will act the way it’s supposed to and do nothing beyond that, then this card will work just fine.",Bank of America Credit Cards,wallethub.com,male,7,25,19,1,2
19,Joanie Hofhine,2012-07-25,4,"I have had this card for a couple of years now and it has really come in handy. The purchase protection is great, I lost a camera while on vacation (I bought it for that vacation) and was able to get replacement camera. Since I have a Bank of America account, I usually transfer my rewards directly to my Bank of America account to get the bonus. I use it for my normal purchases and pay it off right away so it's nice to get bonuses for my normal use. Plus, I prefer to use this card over my debit card in case of fraud, I would rather have to deal with getting the charges reversed on the credit card than having to worry about the money in my checking account being used and having to get that reimbursed.",Bank of America Credit Cards,wallethub.com,female,7,25,20,1,2
20,Michael L Wax Mr,2012-06-19,4,"Bank of America in my opinion is one of the best banks when you compare them with other big banks. Personally I find it convenient that there is a large network of branches and ATM machines. It is very easy to access your funds. I also like to take advantage of the free online money management software called Bank of America My Portfolio. Bill payments and checking are free and there is no minimum balance required. And since I like talking on the phone I can really appreciate the live phone support which is available 7 days a week, 24 hours a day. The only feature I am not comfortable with is the $2 fee for using an ATM that is not a part of the Bank of America network. Overall I personally give Bank of America a very high ranking because of the ease of using the services they provide.",Bank of America Checking,wallethub.com,male,6,19,21,1,1
21,Jackie Strouble,2012-06-18,2,"When I needed to buy a reliable, fuel-efficient car to make the hour commute to night school, I naturally went to my bank to ask about a loan. I had found a very nice used car FSBO – a Honda Accord wagon, fully loaded, in excellent condition, with 96K miles. It really was a peach of a car! But I was a few thousand $$ short. I went to B of A and asked to see a loan officer. He was summoned and emerged from his office in the back. I was not invited into his office, nor was I offered a chair. We stood in the entrance to a hallway and he asked what I needed. I told him about the car, the amount of money I had for a down payment, and the amount of money I needed to borrow. He barely glanced at me as he said, “We don’t make loans in such small amounts. I suggest you put the purchase on your credit card.” Then he excused himself and walked away. ?!! I’m 50 something and female. I had an excellent credit record (partly because I’m not stupid enough to use my credit card to buy a car), a modest but steady income, and a substantial down payment. But he couldn’t be bothered with such small potatoes, leaving me to wonder “Just who is serving whom here?” A short time later our nation witnessed the collapse of the financial sector and the phrase “too big to fail” entered our public consciousness. My experience taught me that B of A regarded itself as very big and important and regarded me, their long-time customer, as very small and unimportant. Maybe if the banks had followed my kind of money instead of riding the tail of the comet and getting badly burned, the economy would be in much better shape today!",Bank of America Car Loans,wallethub.com,female,6,18,22,1,0
22,Reina,2012-06-18,1,"I had been a customer with BofA for a long time. I remember in the 90's when the bank representatives went to my school to get the students set up with their own bank accounts. That was almost two decades ago. When the economy was good, I was one of their best customers. Despite the fact that I wasn't rich, I paid my balance on time, and I kept using their savings and checking account as well. Then came the downturn of the economy. I decided that going to a credit union would be better for me. I kept my credit card with the bank though. When I got married, I decided to change my name. The credit department decided to run a check on me and decided that I was no longer good enough to be their customer. They subsequently closed my account. I guess that they don't see me as a customer, just a number. Despite my diligence, my account was ultimately terminated.",Bank of America Credit Cards,wallethub.com,female,6,18,23,1,0
23,Rachel,2012-06-18,2,"Bank of America is not a bank I would recommend. I have been a customer for over 10 years and overtime things have changed for the worst. Their number one focus is making money, which for a bank is expected, but they do it at the expense of their customers. I recently had to change my bank account to an online bank account in order to avoid the various fees they were charging. If I choose to enter the bank I will be charged a monthly fee of 8+ dollars. In order to avoid that fee I have to do my banking online and via ATM. Recently I attempted to deposit a check at a bank ATM- the ATM screen displayed a message saying that it could not accept checks at that time. To sum it up being a BoA customer is extremely frustrating. The only reason I have stuck with them is due to the fact that they are everywhere. I moved away from home and a lot of the banks they have in this state aren’t available in my home state and vice versa. If you have a choice I would recommend you try a different bank.",Bank of America Checking,wallethub.com,female,6,18,24,1,0
24,Ruben,2012-06-18,5,"Quickest sign up for a bank I've had and I've really had no issues since. They allowed me to pick only the services I wanted without having to add any services I had no desire to use, and were very thorough to ensure I wouldn't cause myself additional fees. I got a very cool Red Sox themed debit card about two weeks after signing up.I don't know why more banks don't try to utilize their ATMs, I like seeing the receipt have the checks right on it in case I need proof of them when something goes wrong, which to this point nothing has. Even when I forgot my PIN on my card they had it reset within about 20 minutes of showing up at my local branch.",Bank of America Savings & CDs,wallethub.com,male,6,18,25,1,0
25,Aero OnFire,2012-06-18,1,"I was once a customer of Bank of America. Everything was fine with them while I had my job. I was only 15 years old and had a savings and a checking and my own debit card. Things were great.However one day I charged my debit card without funds in the bank 4 times in one day. I had cash but I miscalculated my funds in the bank and thought I had enough money. [in total the purchases combined cost was about 3 dollars.]The following day I go to my bank, turns out they slammed me with $212 overdraft fees. This is completely ridiculous and I will never ever again use this horrible excuse of a bank. I had enough money in my savings to cover the fees, so I balanced out the $212 dollar charge, and left that bank for good.This event scarred me and I have not had a bank since. I'm 22 years old now and deal in cash only. I cash my checks at Walmart where they charge 3 dollars. I'd much rather lose 3 dollars to cash a check than $212 dollars to greedy scumbags with no remorse for someones small mistake.I hate this company and wish nothing but the worst for all future endeavors of these soulless, remorseless monsters.",Bank of America Checking,wallethub.com,male,6,18,26,1,0
26,Mandy Arstill,2012-06-18,5,"I LOVED BOA when I had it. It was the best bank I have ever had and I went through quite a few until I came across this one. I loved how you could deposit checks into the ATM after bank hours, they started doing that years before any other bank did. They also make it easier to use the banks, no deposit slips to fill out, all you need is your bank card. They make things easier and more convenient.",Bank of America Checking,wallethub.com,female,6,18,27,1,0
27,Michelle,2012-06-18,5,"Bank of America is a wonderful bank with exceptional customer service. My house was broken into and my credit cards, debit cards, laptop (with personal and banking info) on it and many other things were stolen. I worked with a wonderful customer service representative who helped ensure the safety of my accounts. They put me on additional fraud alert for the following six months as a safety precaution.Additionally, their rates and fees are competitively low. I have never had an issue with them. They are fair and justified.My banking experience with Bank of America has been nothing but easy and convenient. I will be a customer for a long time.",Bank of America Checking,wallethub.com,female,6,18,28,1,0
28,Luke,2012-06-18,3,"The customer service at my branch of Bank of America was OK. They did a good job explaining everything that comes with your credit card and/or bank accounts. The fees that they charge are rather high. When you call customer service, it is mostly automated so it is really hard to get a real person on the phone. When you do get someone on the phone, they person is most likely Indian, so it is hard to understand them and sometimes it takes a long time to get the service you want. For a big bank, I don't recommend using their services and I would not go back to them for any services I need. I find that your local community credit union offers better services, rates, and they feel like they want to get to know you at a personal level.",Bank of America Credit Cards,wallethub.com,male,6,18,29,1,0
29,Roger,2012-06-18,3,"I HAD been a BofA customer for many years. The service was never anything to write home about, but it was serviceable enough. My main reason for sticking with them as long as I did is simply because they are so national. I mean, regardless of what city I found myself in (I travel a lot) there was always a BofA somewhere nearby.However, after numerous incidents where my account balance would inexplicably drop, I had had enough. The process to get an account closed is just horrendous. There is no easy way to do it. I've read online that your account is never actually closed. Be careful, make sure if you do close the account, that you cancel any and all automatic debits from your account. Otherwise you'll wake up one morning and find you owe them for all sorts of crazy overdraft fees.",Bank of America Checking,wallethub.com,male,6,18,30,1,0
30,Haley Herring,2020-08-31,1,Let me start by saying I always pay my credit card bill on time and in full. I was late to pay by $38 bill by 40 minutes and they charged me a $25 late fee. I called to ask that they waive this fee and they refused. I've been a customer for over 10 years and never paid late once. They really don't care about their customers.,Bank of America Credit Cards,wallethub.com,female,8,31,31,1,0
31,Matthew,2020-08-31,5,"Great card, with 3% cash back on one category (I use online purchase category). That’s perfect for booking vacations and other big ticket purchases they online vendors.",Bank of America Credit Cards,wallethub.com,male,8,31,32,1,0
32,kristenmccurdyrealtor,2020-08-28,1,I have had my personal checking and savings and business checking and savings account through Bank of America for years. I am so disappointed and annoyed with Bank of America. 1st stop having drive-up teller's so you have to go in and which they usually only have one live Teller working. Second ATM machines never have cash withdrawal available and since covid they have shut down most of their inside offices. I do not recommend this Bank any longer as they make it more difficult every day to try to do his business and access your money. Wells Fargo and Chase at least still have options and customer service,Bank of America Business Services,wallethub.com,,8,28,33,1,4
33,arijit32,2020-08-28,1,"I had a $15 dollar balance on a credit card that I stopped using. I was billed by a service provider that I forgot about. They kept tacking late fees for 3 months, and when I noticed it, I closed the account by paying in full. At that point, BOA reported me to credit ratings agencies as delinquent. What a bunch of greedy people.",Bank of America Credit Cards,wallethub.com,,8,28,34,1,4
34,Michael English,2020-08-27,1,Poor service. I was told over the phone twice that I was approved. Credit score was 770. 2.5 hours later my loan was denied. Don't use this company!,Bank of America Car Loans,wallethub.com,male,8,27,35,1,3
35,cheera_rinker,2020-08-26,1,"Extremely disappointed. They closed my account due inactivity, which I understand is in the agreement, what i dislike is they gave me ZERO notice. I have had other cards give a notice that if a card isn't used they will close the account so of course I make a purchase and then pay it off. Its covid i had an excellent score and was trying to refinance my house for the best rate I could get and this will affect that. Sorely disappointed! The kicker is I actually work in a breast cancer center !",Bank of America Credit Cards,wallethub.com,,8,26,36,1,2
36,Carrie,2020-08-25,5,My first credit card was through Bank of America and I’ve had it now for 11 years I started out small with my purchase as a beginner but now Use it for everything. Great Reward’s,Bank of America Credit Cards,wallethub.com,female,8,25,37,1,1
37,Tammy,2020-08-25,5,This started as a $300.00 secured card. After a year of paying on time they converted it to a regular credit card. My $300 was deposited into my checking account & my credit card limit was set for $1300.00. Not sure where the #'s came from...? Just what they came up with?! Great experience! Thank you Bank of America!,Bank of America Credit Cards,wallethub.com,female,8,25,38,1,1
38,Neal,2020-08-25,4,I decided toTransferred balance from other card to lower my monthly payments and not pay interest for a year. I will do this again again soon,Bank of America Credit Cards,wallethub.com,male,8,25,39,1,1
39,Terry B,2020-08-24,1,Having to wait 3 hours on hold to talk to someone when your banks are closed due to covid 19. We opted to cash out a CD. They told us they have to send a check and it will take 7 to 10 days. Fourteen days later we still do not have OUR FUNDS. So we are calling to see where our money is and call wait time is 3 hours. What a waist of my valuable time. Bad customer service. We have been a customer for 15 years. We will move everything to another bank that cares about service.,Bank of America CDs,wallethub.com,male,8,24,40,1,0
40,terrmc66,2020-02-26,1,"Complaints were made to Charlotte HQs. The Nigerian Regional Manager was made aware. He made excuses for his branch managers - one who was Indian and the other was a Latino. There are few Black branch managers in Houston area.African Americans need to avoid this bank at all costs. Their telephone customer service and branch managers are biased against African-Americans. Recently, I had to give FIVE CLEARANCES in order for them to gain access to my aged accounts. Account#s, last deposit, Tele#, and address. It was RIDICULOUS and very unusual. Then BOA branch managers would not cash contractors cashiers checks despite one contractor and myself having numerous active/aged accounts with BOA. A white contractor stated that she had never seen anything like it and didn't understand the rejection.I hate Bank of Amerikkka. Bank of America has had racial issues in the past. I believe they were sued.Currently, there are few walk-in branches located in densely Black neighborhoods only drive-ups - if that. BOA used to offer impeccable customer service. Not anymore. It's a dump.Black people need to bank with an institution that respects all of its customers. Bank of Amerikkka does not.If I could give BOA 0 stars, I would.",Bank of America Checking,wallethub.com,,2,26,41,1,2
41,Basalat,2020-02-26,1,Customer service is very difficult to deal with. Sound courteous but are very dismissive at the same time. I would guess they only reason they wanted to give me this card was because an AMEX makes them more money.,Bank of America Credit Cards,wallethub.com,male,2,26,42,1,2
42,Sherr H,2020-02-26,1,They are worst bank ever!!!!! I would not recommend this bank to anyone. All about taking all of your money and no compassion for others whatsoever,Bank of America Checking,wallethub.com,female,2,26,43,1,2
43,David H,2020-02-25,5,BofA has always been my first choice in Banking for over 30 years. Business Banking to personal they're always there for me.I would like to get a new card with a $200spending balance.,Bank of America Credit Cards,wallethub.com,male,2,25,44,1,1
44,Jeremy Bayer,2020-02-25,1,Bank of America does not care about customer service at all. I was approved for a car loan yet they wouldn’t give me the money because it was an independent dealer they don’t work with. But if I wanted it for Joe Blow on the street they would give it to me no problem. Makes zero sense. Guys are a bunch of criminals and I will be taking my business elsewhere. Very sad,Bank of America Car Loans,wallethub.com,male,2,25,45,1,1
45,Tori Von Mende,2020-02-25,1,"Worst customer service ever! Go to First National Bank Of Omaha instead -they're human beings you can talk with in person or over the phone and not feel like you are talking to a robot. FNBO has better customer service than anywhere I know. Derrick batch # WTP6S out of NW Montana with Bank Of America is the reason for this review. Very rude individual!!!!!! Put me on hold and Never came back. I called them at 7:07 pm it is now 7:37 pm and he hasn't checked back on with me yet. His last words were ""ok not sure how long this hold will be"". DISSAPOINTED AND SO RUDE. I'm still waiting to talk to his manager, he just checked in at 7:45 pm and said he would be right back. It is now 7:51 pm and he made sure we we're still holding...still waiting. Pretty sure he's playing a game. Sad And pathetic",Bank of America Checking,wallethub.com,female,2,25,46,1,1
46,rnng7781,2020-02-25,1,So they punish you and charge you fees for being poor. AMAZING THESE BANKS PENALIZE YOU IF YOU DONT HAVE A DIRECT DEPOSIT OF 200 OR NORE. There's plenty of mentally challenged people that only work 1 day a week and dont make over 200. BANKS MAKE ME SICK I cant wait for them to become irrelevant. Charg people to keep their own money. Fu$k you BofA,Bank of America Checking,wallethub.com,,2,25,47,1,1
47,Roberto Delgado,2020-02-25,1,"If you are never really planning on actually walking into the bank then this is the bank for you. I have multiple accounts business and personal and I have to go get cash and what a hassle, one employee teller and 5 loan officer just sitting in offices. They have a bank almost on every corner but not enough employees to work them. What happened with remote atm tellers that was a great idea that got squashed",Bank of America Checking,wallethub.com,male,2,25,48,1,1
48,QueenMah,2020-02-23,5,I am enjoying my card with you guys... I appreciate the cash back perks.? I'm Looking forward to a very long good relationship with this company.,Bank of America Credit Cards,wallethub.com,,2,23,49,1,6
49,Raymond,2020-02-23,1,Due to their not taking account information correctly they made the decision that I had not paid my account when I contacted them the person on the line found that the prior person taking the bank routing and account number had not taken it correctly I gave him the same information and the account was paid off and they refunded the bad charge it was their fault not mine and they should not have lowered my credit limit from $4000 to $500.,Bank of America Credit Cards,wallethub.com,male,2,23,50,1,6
50,ptosis theseus,2013-12-12,5,"Recently changed credit card to Bank of America because during the Holiday Season is the time that credit cards have special promos. I went and googled the words credit card comparison and the top one was Bank of America for those with excellent credit. They do a 'Hard' credit check and it was the first time I found out my score: 750. B of A is the best to switch to before the end of the year because #1 100 Cash bonus when you make at least $500 in purchases within 90 days, #2 The cash back rewards is for ALL purchases and is divided into three rates, 1%, 2% and 3% which make it totally hands down as the best card to get for the most cash back rewards. :):):):):):):):):)",Bank of America Credit Cards,wallethub.com,,12,12,51,1,3
51,Thomas Burke,2013-12-12,3,"The BankAmericard Travel Rewards Credit Card is very similar to other travel type cards, but to max out the benefits you should get a Bank of America bank account as well for the added 10 percent bonus. Really similar to the Amex card, but there's some places that don't accept it and this one is on the Visa/MC network which has lower fees to merchants, so you might like this one better if you go to small corner stores and such in your travels to make sure they'll accept it. It was the one thing I didn't like with the competing Amex card, was small places or places running on thin profit margins didn't take Amex because it cost them an extra hundred basis points on their swipe rate.",Bank of America Credit Cards,wallethub.com,male,12,12,52,1,3
52,Nicholas Daka,2013-12-11,5,"The Amtrak guest rewards credit card is a great card to utilize in my opinion, due to the fact one could earn Amtrak guest rewards points for every purchase (and double for purchases on Amtrak). The customer service is fair and responsive; furthermore (both on the telephone and on the web) it much easier to navigate than my other credit card.",Bank of America Credit Cards,wallethub.com,male,12,11,53,1,2
53,Melissa Johnson-Murray,2013-12-11,4,"The nice thing about the BankAmericard Cash Rewards Credit Card is pretty obvious - the rewards. Particularly the initial bonus of $100. After that, earning 2% and 3% for gas is pretty generous as well. The initial interest rate is great - 0%, but be careful after that intro year. If you are able to qualify for this card, I would suggest using the first year to get the great rate and rewards, but after that apply for a card at a credit union. Their rates are almost always lower and their fees are usually lower as well.",Bank of America Credit Cards,wallethub.com,female,12,11,54,1,2
54,Justin Endsley,2013-12-11,4,"I use this Bank of America credit card for general purchases as well as auto payment for several monthly bills. I've always had great customer support, and the points reward is a major bonus. Each year I have approximately $300 worth of reward points built up that make for a nice end of the year bonus. Bank of America is also great when it comes to credit limit increases and fair interest rates. Overall, I would definitely recommend this card.",Bank of America Credit Cards,wallethub.com,male,12,11,55,1,2
55,derrick dawkins,2013-12-11,4,"The AAA Member Rewards Credit Card seems like a fairly typical credit card. Compared to other cards I've had it is definitely lacking the incentive of an initial introductory rate. The annual percentage rate is comparable to most cards I've used over the years and seems fair. The extra bonus points on travel related purchases is a good deal if you find yourself on the road frequently. The card doesn't have an annual fee which is a very nice perk for a credit card. Overall the AAA Members Rewards Credit Card, looks like a great card, especially for travelers.",Bank of America Credit Cards,wallethub.com,male,12,11,56,1,2
56,Tom Kelly,2013-12-10,4,"The BankAmericard Power Rewards Visa Signature card looks like a pretty standard rewards card to me. Excellent credit needed and the low end interest rate of 12.99% isn't great but not horrible. Personally, I would rather have a defined cash back card than have reward ""points"". The reward details say that rewards start at 2,500 points but the reward list is not available. I found a Fidelity Amex card with 2% cash back on all purchases. That money can be put into a ""Cash Management"" (Checking) account or Retirement Account. There are plenty of positives with this card and getting rewards are better than not, but I believe there are better rewards cards out there.",Bank of America Credit Cards,wallethub.com,male,12,10,57,1,1
57,Natarajan Ayithan,2013-12-09,5,I have been BofA customer since 2011...So far the best bank from my point of view. I am so happy about being their customer. Easy balance transfer and Cash deposits..Wonderful customer care and the agents are very helpful and assisting every time I call. Very low interest rates and rewards system are some of the main options to consider this bank. Then I recommend all my friends and neighbors to be a customer of bank of america. Every store accepts the credit cards offered by them and so far no complaints about anything..Just love the way they are and I hope they serve every customer a good customer care forever..,Bank of America Credit Cards,wallethub.com,male,12,9,58,1,0
58,David Marcillo,2013-12-09,4,"This BankAmericard Travel Rewards Credit Card is one of those credit cards that people who do not qualify point to as the ones they wish they could have. Once you get past the required Excellent credit rating, you're looking at a card with excellent reward potential. For starters, simply spending $500 within 90 days of opening the account will earn you $100 off your next travel purchase. Following that, you'll earn 1.5 points per dollar spent, which as they seem proud to say, truly is 50% more than most other rewards programs I've seen (1 point=1 dollar) Also, if you combine this card with a valid Bank of America account, you'll earn a 10% bonus to the points you've accumulated. So, if you have a Bank of America account already and you like to travel (and you have Excellent credit) this is definitely the card for you!",Bank of America Credit Cards,wallethub.com,male,12,9,59,1,0
59,jono,2013-12-08,4,"Rewards for gas and travel purchases make the AAA Member Rewards Credit Card a favorite of travelers everywhere. With rewards also including gift cards and even vouchers for car repairs, you cannot go wrong! Though the points for purchase and interest rates are just average, Smart Chip technology ensures your purchases outside the border are 100% secure. The card does not require excellent credit either, making it a popular choice among those with a less-than-perfect history and a favorite among loyal AAA members.",Bank of America Credit Cards,wallethub.com,male,12,8,60,1,6
60,drissq,2015-12-04,1,"BOA is the worst bank ever, the Monthly Maintenance Fee is injustice and unfair, it is completely aginst the law. They try to make more benefits and money from the pockets of people with lower income. So those ignorant individuals who are in charge of this organization will make more annual money.",Bank of America Checking,wallethub.com,,12,4,61,1,4
61,Jaya Balaji,2015-12-02,5,The application process was very much easier to navigate in the U.S Pride Credit card.Purchasing online was an exceptional thing.The customer service was sophisticated.It gives a technical and professional look to my card.The major thing that they have to be developed is to ease with customers when they do approach for particular designs and varieties should be made in card designs.,Bank of America Credit Cards,wallethub.com,male,12,2,62,1,2
62,James Moore,2015-11-26,5,Best feature of this card is that it earns you 3% back on gas. I use it to purchase all my gas and it earns me more than on most other cards. I also like the feature that i can use the cash to get cash back or for unique mlb experiences and merchandise.,Bank of America Credit Cards,wallethub.com,male,11,26,63,1,3
63,Mike Julie,2015-11-24,4,"Bank Americard Cash Rewards is a great rewards card to have in your wallet. It offers 3% cash back on gas, 2% on groceries and 1% on general purchases. The gas and grocery rewards are excellent, although I use other cards for general spending. In addition to the cash back rewards, you get an extra 10% by depositing the cash back into a Bank of America checking account. Bank Americard Cash Rewards has no annual fee.",Bank of America Credit Cards,wallethub.com,male,11,24,64,1,1
64,Scott Atteberry,2015-11-22,5,"I am satisfied with this credit card. Not very many credit cards provide 2% cash back everywhere, on everything. I do not need to worry about whether my purchase is for a restaurant, gasoline, or groceries; I get the 2% no matter what. Only thing I have a complaint about is the ease of use for redeeming my cash back. Website for this activity is a little cumbersome and hard to navigate, but eventually you get the hang of it. Overall, I would recommend this credit card to anyone and everyone.",Bank of America Credit Cards,wallethub.com,male,11,22,65,1,6
65,Mon Con,2015-11-19,4,It provides nice cash rewards overall. It's the one I usually use for gas and purchase from major grocery stores. It has no annual fees which is nice. I also like that I get an additional 10% on top of my rewards when depositing it in my Bank of America account. Cashing the rewards is fairly easy and quick. One thing I don't like is the new security chip. I've been having problems swiping it in some places.,Bank of America Credit Cards,wallethub.com,female,11,19,66,1,3
